NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION,FULL_DESCRIPTION,TARGET
Children's Mercy Hospitals and Clinics,5001 to 10000 Employees,"Kansas City, MO",Health Care Services & Hospitals,4.1,4.2,4.0,4.0,3.6,4.0,3.8,309,"Children's Mercy continues transforming children's lives and redefining pediatric medicine.

We are the only free-standing children's hospital between St. Louis and Denver and provide comprehensive care for patients from birth to 21. Children's Mercy consistently is ranked among the leading children's hospitals in the nation. We were the first hospital in Missouri or Kansas to earn the prestigious Magnet designation for excellence in patient care from the American Nurses Credentialing Center.","Mission: Mission
Improve the health and well being of children by providing comprehensive, family-centered health care and committing to the highest level of clinical and psychosocial care, and to research, academic and service excellence.

Vision
Be a national and international leader recognized for advancing pediatric health and delivering optimal health outcomes through innovation and a high-value, integrated system of care.","Children's Mercy continues transforming children's lives and redefining pediatric medicine.

We are the only free-standing children's hospital between St. Louis and Denver and provide comprehensive care for patients from birth to 21. Children's Mercy consistently is ranked among the leading children's hospitals in the nation. We were the first hospital in Missouri or Kansas to earn the prestigious Magnet designation for excellence in patient care from the American Nurses Credentialing Center.Mission: Mission
Improve the health and well being of children by providing comprehensive, family-centered health care and committing to the highest level of clinical and psychosocial care, and to research, academic and service excellence.

Vision
Be a national and international leader recognized for advancing pediatric health and delivering optimal health outcomes through innovation and a high-value, integrated system of care.",1
Discount Tire,10000+ Employees,"Scottsdale, AZ",Automotive Parts & Accessories Stores,4.1,4.0,4.2,3.4,3.8,3.8,4.0,1166,"Discount Tire (known as America's Tire in some parts of California) is the world’s largest independent tire and wheel retailer. We are known for a wide range of product choices, affordable pricing, expert staff, and customer focus. And at discounttire.com, customers can research, order and make an appointment for service.", ,"Discount Tire (known as America's Tire in some parts of California) is the world’s largest independent tire and wheel retailer. We are known for a wide range of product choices, affordable pricing, expert staff, and customer focus. And at discounttire.com, customers can research, order and make an appointment for service. ",0
Hyland,1001 to 5000 Employees,"Westlake, OH",Computer Hardware & Software,4.1,4.2,4.4,4.4,3.8,3.5,3.8,679,"Hyland is a software company that thrives on new ideas and diverse perspectives. Since 1991, it’s been our mission to help our employees, customers and partners exceed their potential. We believe Hylanders can accomplish anything when they have the freedom to innovate, be creative and embrace the future. That, and an intense dedication to our core values, is what our award-winning software is built on", ,"Hyland is a software company that thrives on new ideas and diverse perspectives. Since 1991, it’s been our mission to help our employees, customers and partners exceed their potential. We believe Hylanders can accomplish anything when they have the freedom to innovate, be creative and embrace the future. That, and an intense dedication to our core values, is what our award-winning software is built on ",1
Hines Interests Limited Partnership,1001 to 5000 Employees,"Houston, TX",Real Estate,4.1,3.8,3.9,3.6,3.5,3.9,3.7,332,"Hines has many interests, but none of them involve ketchup. The real estate firm invests in, develops, renovates, manages, and finances commercial real estate including office buildings, industrial parks, medical facilities, mixed-use developments, and master-planned residential communities. Its portfolio includes more than 1,100 properties completed, under development, managed, or invested in around the world. Hines has collaborated with such world-renowned architects as I. M. Pei, Philip Johnson, and Frank Gehry. Management services include marketing, tenant relations, and contract negotiations. Chairman Gerald Hines founded the family-controlled company in 1957.", ,"Hines has many interests, but none of them involve ketchup. The real estate firm invests in, develops, renovates, manages, and finances commercial real estate including office buildings, industrial parks, medical facilities, mixed-use developments, and master-planned residential communities. Its portfolio includes more than 1,100 properties completed, under development, managed, or invested in around the world. Hines has collaborated with such world-renowned architects as I. M. Pei, Philip Johnson, and Frank Gehry. Management services include marketing, tenant relations, and contract negotiations. Chairman Gerald Hines founded the family-controlled company in 1957. ",0
CONMED Corporation,1001 to 5000 Employees,"Largo, FL",Health Care Products Manufacturing,4.1,3.6,4.1,4.1,4.0,4.1,3.9,276,"CONMED is a global medical technology company that specializes in the development and sale of surgical and patient monitoring products and services that allow our physician customers to deliver high quality care and as a result, enhanced clinical outcomes for their patients.

With products that are recognized as technological leaders by the specialties they serve, healthcare professionals within the Orthopedic, Laparoscopic, Robotic and Open Surgery, Gastroenterology and Pulmonology as well as Cardiology and Critical Care specialties have come to value the CONMED name across the world.

Our broad portfolio focuses on the needs and wants of specific specialties while coming together at the point of care delivery to offer our customers the power of choice and the power of convenience...","Mission: Mission Statement:
Our Mission is to enable healthcare providers around the world to deliver exceptional outcomes for patients, through accessible CONMED solutions.

Vision Statement:
Empower healthcare providers worldwide to deliver exceptional outcomes for patients.
CONMED.... Imagine what we could do together.","CONMED is a global medical technology company that specializes in the development and sale of surgical and patient monitoring products and services that allow our physician customers to deliver high quality care and as a result, enhanced clinical outcomes for their patients.

With products that are recognized as technological leaders by the specialties they serve, healthcare professionals within the Orthopedic, Laparoscopic, Robotic and Open Surgery, Gastroenterology and Pulmonology as well as Cardiology and Critical Care specialties have come to value the CONMED name across the world.

Our broad portfolio focuses on the needs and wants of specific specialties while coming together at the point of care delivery to offer our customers the power of choice and the power of convenience...Mission: Mission Statement:
Our Mission is to enable healthcare providers around the world to deliver exceptional outcomes for patients, through accessible CONMED solutions.

Vision Statement:
Empower healthcare providers worldwide to deliver exceptional outcomes for patients.
CONMED.... Imagine what we could do together.",0
Conservice,1001 to 5000 Employees,"Logan, UT",Utilities,4.1,4.0,4.3,4.0,4.1,4.0,4.1,406,"Conservice is the largest utility management company in the United States, offering unparalleled solutions for multi-family, single-family, student housing, military housing, and commercial locations. These solutions, along with our commitment to exceeding expectations, make us an excellent company to work for and with.

We exceed partner expectations by:

• Creating customizable solutions
• Reducing operating costs
• Promoting conservation
• Maintaining an unmatched level of customer service.

We exceed team member expectations by:

• Encouraging and supporting a professional, fun, and engaging culture
• Providing excellent benefits
• Providing discounts to local businesses and activities
• Allotting time for charitable service (2 hours per month)
• Scheduling team and company events like potlucks, Halloween, Hawaii Day, Star Wars Day, Cinco de Mayo, and larger company parties","Mission: Our CEO, Scott Hardy, and our leadership team are passionate about our team members and our company tenets: Exceeding Expectations, Accountability, Continuous Improvement, and No Surprises. With each tenet rooted in Respect, we promote and support a culture of professionalism, fun, and team engagement. Halloween, summer parties and end of the year events bring us together to celebrate our hard work and commitment. If you throw in community discounts, free soda, excellent benefits and a team dedicated to help advance your individual career development, you’ve got a pretty awesome place to work!

We can’t forget to talk about Conservice cares! Our organization is an active participant in numerous charitable causes, locally and nationally through our Conservice Cares program. Conservice team members are encouraged to take two hours of paid time, each month to perform much needed service in our community. Some of the beneficiaries of this program have included local schools, senior citizen centers, food banks, and hospitals. Thousands of hours are donated each year to our communities.","Conservice is the largest utility management company in the United States, offering unparalleled solutions for multi-family, single-family, student housing, military housing, and commercial locations. These solutions, along with our commitment to exceeding expectations, make us an excellent company to work for and with.

We exceed partner expectations by:

• Creating customizable solutions
• Reducing operating costs
• Promoting conservation
• Maintaining an unmatched level of customer service.

We exceed team member expectations by:

• Encouraging and supporting a professional, fun, and engaging culture
• Providing excellent benefits
• Providing discounts to local businesses and activities
• Allotting time for charitable service (2 hours per month)
• Scheduling team and company events like potlucks, Halloween, Hawaii Day, Star Wars Day, Cinco de Mayo, and larger company partiesMission: Our CEO, Scott Hardy, and our leadership team are passionate about our team members and our company tenets: Exceeding Expectations, Accountability, Continuous Improvement, and No Surprises. With each tenet rooted in Respect, we promote and support a culture of professionalism, fun, and team engagement. Halloween, summer parties and end of the year events bring us together to celebrate our hard work and commitment. If you throw in community discounts, free soda, excellent benefits and a team dedicated to help advance your individual career development, you’ve got a pretty awesome place to work!

We can’t forget to talk about Conservice cares! Our organization is an active participant in numerous charitable causes, locally and nationally through our Conservice Cares program. Conservice team members are encouraged to take two hours of paid time, each month to perform much needed service in our community. Some of the beneficiaries of this program have included local schools, senior citizen centers, food banks, and hospitals. Thousands of hours are donated each year to our communities.",0
Lam Research,10000+ Employees,"Fremont, CA",Electrical & Electronic Manufacturing,4.1,4.0,4.1,3.6,3.7,4.1,3.8,992,"Success Starts Here:

As a trusted, collaborative partner to the world’s leading semiconductor companies, Lam Research (NASDAQ:LRCX) is a fundamental enabler of the silicon roadmap. In fact, today, nearly every advanced chip is built with Lam technology. Our innovative wafer fabrication equipment and services allow chipmakers to build smaller, faster, and better performing electronic devices. We combine superior systems engineering, technology leadership, a strong values-based culture, and unwavering commitment to customer success to accelerate innovation, enabling our customers to shape the future.", ,"Success Starts Here:

As a trusted, collaborative partner to the world’s leading semiconductor companies, Lam Research (NASDAQ:LRCX) is a fundamental enabler of the silicon roadmap. In fact, today, nearly every advanced chip is built with Lam technology. Our innovative wafer fabrication equipment and services allow chipmakers to build smaller, faster, and better performing electronic devices. We combine superior systems engineering, technology leadership, a strong values-based culture, and unwavering commitment to customer success to accelerate innovation, enabling our customers to shape the future. ",0
Radian Group,1001 to 5000 Employees,"Philadelphia, PA",Insurance Carriers,4.1,4.1,4.1,4.3,3.4,4.3,3.6,120,"Radian is helping to ensure the American dream of homeownership in even bigger and better ways with industry-leading mortgage insurance and a comprehensive suite of mortgage, risk, real estate, and title services.

We are powered by technology, informed by data and driven to deliver new levels of service and innovation to our customers across the residential mortgage and real estate spectrum.

Learn more about Radian and career opportunities at Radian.com.",Mission: We help promote and preserve the tradition of homeownership while protecting lenders from default-related losses on residential first mortgages. We also facilitate the sale of low-downpayment mortgages in the secondary market. Our commitment to homeownership is built on a foundation of evaluating credit risk; we help clients and investors expertly and prudently manage risk in any market condition.,"Radian is helping to ensure the American dream of homeownership in even bigger and better ways with industry-leading mortgage insurance and a comprehensive suite of mortgage, risk, real estate, and title services.

We are powered by technology, informed by data and driven to deliver new levels of service and innovation to our customers across the residential mortgage and real estate spectrum.

Learn more about Radian and career opportunities at Radian.com.Mission: We help promote and preserve the tradition of homeownership while protecting lenders from default-related losses on residential first mortgages. We also facilitate the sale of low-downpayment mortgages in the secondary market. Our commitment to homeownership is built on a foundation of evaluating credit risk; we help clients and investors expertly and prudently manage risk in any market condition.",1
"Aruba Networks
Part of Hewlett Packard Enterprise | HPE",5001 to 10000 Employees,"Santa Clara, CA",Enterprise Software & Network Solutions,4.1,4.3,4.1,4.1,3.6,3.8,3.7,454,"AT ARUBA, A HEWLETT PACKARD ENTERPRISE COMPANY, WE BELIEVE THAT THE MOST DYNAMIC EXPERIENCES HAPPEN AT THE EDGE.

But what is the Edge? There are many answers. It’s the workplace. It’s a school. It’s a hospital. It’s your home. In short, the Edge is any environment where data is generated by users, devices, and things. And the organizations that successfully harness that data, are the ones that win. They can uncover valuable insights. They can deliver new services. They can delight their customers and produce better outcomes. Our mission at Aruba is to help customers capitalize on these opportunities. We accomplish this with secure edge-to-cloud solutions that make things simpler, faster, and more automated for IT — solutions that enable organizations to harness the data they need to succeed.", ,"AT ARUBA, A HEWLETT PACKARD ENTERPRISE COMPANY, WE BELIEVE THAT THE MOST DYNAMIC EXPERIENCES HAPPEN AT THE EDGE.

But what is the Edge? There are many answers. It’s the workplace. It’s a school. It’s a hospital. It’s your home. In short, the Edge is any environment where data is generated by users, devices, and things. And the organizations that successfully harness that data, are the ones that win. They can uncover valuable insights. They can deliver new services. They can delight their customers and produce better outcomes. Our mission at Aruba is to help customers capitalize on these opportunities. We accomplish this with secure edge-to-cloud solutions that make things simpler, faster, and more automated for IT — solutions that enable organizations to harness the data they need to succeed. ",1
"Land O'Lakes
Hiring Surge",5001 to 10000 Employees,"Arden Hills, MN",Food & Beverage Manufacturing,4.1,3.7,4.1,3.8,3.7,4.1,4.0,414,"A career at Land O’Lakes means working at the heart of the dynamic agriculture and food industries—and helping to solve some of the world’s greatest food challenges. If you know us as “the butter company,” you may be surprised to discover that we’re behind many trusted brands, including Purina®, WinField™ United, Kozy Shack®, Vermont Creamery®, and Philia™, among others. We’re #212 on the Fortune 500 list, with 8,000+ employees doing business in all 50 U.S. states and 50 countries around the world.

From crop inputs that grow into the grain that animals eat, to a final product on a store shelf, Land O’Lakes has a farmer-to-fork view. Pair this with our farmer ownership, and we're uniquely qualified to fulfill our purpose of Feeding Human Progress around the world, while always delivering on our responsibility to our owners. Just as we’ve been doing for nearly 100 years.

Explore a career with Land O’Lakes, and discover why Forbes, Indeed, the Human Rights Campaign Foundation and many others have placed us on their best places to work lists.", ,"A career at Land O’Lakes means working at the heart of the dynamic agriculture and food industries—and helping to solve some of the world’s greatest food challenges. If you know us as “the butter company,” you may be surprised to discover that we’re behind many trusted brands, including Purina®, WinField™ United, Kozy Shack®, Vermont Creamery®, and Philia™, among others. We’re #212 on the Fortune 500 list, with 8,000+ employees doing business in all 50 U.S. states and 50 countries around the world.

From crop inputs that grow into the grain that animals eat, to a final product on a store shelf, Land O’Lakes has a farmer-to-fork view. Pair this with our farmer ownership, and we're uniquely qualified to fulfill our purpose of Feeding Human Progress around the world, while always delivering on our responsibility to our owners. Just as we’ve been doing for nearly 100 years.

Explore a career with Land O’Lakes, and discover why Forbes, Indeed, the Human Rights Campaign Foundation and many others have placed us on their best places to work lists. ",0
Lincoln Property Company,5001 to 10000 Employees,"Dallas, TX",Real Estate,4.1,4.0,4.1,3.7,3.8,3.9,4.1,614,"Lincoln Property Company is one of the largest diversified real estate firms in the US. The company began by building garden apartments in the Southwest, then expanded into commercial and retail projects. It owns, leases, and manages over 500 residential communities consisting of more than 204,000 units throughout the US. Its commercial division provides third-party management and leasing services for office, industrial, retail, and mixed-use properties. Also, one of the largest developers and managers of military housing, Lincoln has arrangements with the US Army, Navy, and Marines through our Lincoln Military Housing division.","Mission: Our mission is to be a company for people, a company about people. We strive:

To provide our residents with superior service for a comfortable and convenient lifestyle.
To provide our employees with strong roots and bright futures.
To provide our business partners with the resources and support for success.","Lincoln Property Company is one of the largest diversified real estate firms in the US. The company began by building garden apartments in the Southwest, then expanded into commercial and retail projects. It owns, leases, and manages over 500 residential communities consisting of more than 204,000 units throughout the US. Its commercial division provides third-party management and leasing services for office, industrial, retail, and mixed-use properties. Also, one of the largest developers and managers of military housing, Lincoln has arrangements with the US Army, Navy, and Marines through our Lincoln Military Housing division.Mission: Our mission is to be a company for people, a company about people. We strive:

To provide our residents with superior service for a comfortable and convenient lifestyle.
To provide our employees with strong roots and bright futures.
To provide our business partners with the resources and support for success.",0
Ball Corporation,10000+ Employees,"Broomfield, CO",Aerospace & Defense,4.1,3.9,3.8,3.4,3.4,4.2,3.6,399,"The well-rounded Ball Corporation pitches packaging to companies producing food, beverage, and household goods. Food and beverage packaging includes steel cans and aluminum slugs. Ball's packaging revenue derives primarily from long-term contracts with a relatively few customers, such as SABMiller and bottlers of Pepsi-Cola and Coca-Cola brands in Argentina, Brazil, China, Europe, and North America. Ball Aerospace & Technologies manufactures an array of defense systems, from remote-sensing satellites to telescopes, surveillance, and antenna and video devices, as well as provides systems engineering services. The Department of Defense, NASA, and their prime contractors, represent 90% of this segment's sales.", ,"The well-rounded Ball Corporation pitches packaging to companies producing food, beverage, and household goods. Food and beverage packaging includes steel cans and aluminum slugs. Ball's packaging revenue derives primarily from long-term contracts with a relatively few customers, such as SABMiller and bottlers of Pepsi-Cola and Coca-Cola brands in Argentina, Brazil, China, Europe, and North America. Ball Aerospace & Technologies manufactures an array of defense systems, from remote-sensing satellites to telescopes, surveillance, and antenna and video devices, as well as provides systems engineering services. The Department of Defense, NASA, and their prime contractors, represent 90% of this segment's sales. ",0
Carlisle Companies,10000+ Employees,"Scottsdale, AZ",Chemical Manufacturing,4.1,4.2,4.0,3.6,3.4,3.7,3.7,133,"Commercial manufacturing group Carlisle Companies is nothing if not diverse. Through dozens of subsidiaries, the company makes an array of products including roofing materials, specialty wheels and tires, food service equipment, and wire and cable assemblies for aerospace and industrial clients. Representing about half of the group's sales, the construction materials segment makes rubber roofing systems as well as rigid foam insulation, waterproofing, and protective coatings. Its next-largest segment, transportation products, makes tires, wheels, and power transmission belts. Carlisle has manufacturing and distribution facilities (and sells its products) worlwide, but the US accounts for around 90% of sales.", ,"Commercial manufacturing group Carlisle Companies is nothing if not diverse. Through dozens of subsidiaries, the company makes an array of products including roofing materials, specialty wheels and tires, food service equipment, and wire and cable assemblies for aerospace and industrial clients. Representing about half of the group's sales, the construction materials segment makes rubber roofing systems as well as rigid foam insulation, waterproofing, and protective coatings. Its next-largest segment, transportation products, makes tires, wheels, and power transmission belts. Carlisle has manufacturing and distribution facilities (and sells its products) worlwide, but the US accounts for around 90% of sales. ",1
Brookhaven National Laboratory,1001 to 5000 Employees,"Upton, NY",Federal Agencies,4.1,5.0,3.6,4.2,3.4,3.6,3.7,228,"Brookhaven National Laboratory delivers discovery science and transformative technology to power and secure the nation’s future. Primarily supported by the U.S. Department of Energy’s (DOE) Office of Science, Brookhaven is a multidisciplinary laboratory with seven Nobel Prize-winning discoveries, 36 R&D 100 Awards, and more than 70 years of pioneering research. Our 2,500-plus staff members lead and support diverse research teams that address the DOE mission. Brookhaven’s highest-level priorities are nuclear science, energy science, data science, particle physics, accelerator science & technology, quantitative plant science, and quantum information science.", ,"Brookhaven National Laboratory delivers discovery science and transformative technology to power and secure the nation’s future. Primarily supported by the U.S. Department of Energy’s (DOE) Office of Science, Brookhaven is a multidisciplinary laboratory with seven Nobel Prize-winning discoveries, 36 R&D 100 Awards, and more than 70 years of pioneering research. Our 2,500-plus staff members lead and support diverse research teams that address the DOE mission. Brookhaven’s highest-level priorities are nuclear science, energy science, data science, particle physics, accelerator science & technology, quantitative plant science, and quantum information science. ",1
Chobani,1001 to 5000 Employees,"Norwich, NY",Food & Beverage Manufacturing,4.1,4.4,4.5,4.1,4.1,4.3,3.9,152,"After moving to New York from his native Turkey, Chobani’s founder and CEO Hamdi Ulukaya found that in America, yogurt just wasn’t as delicious and widely available as it was back home. He believed everyone deserved better options, so he set about making delicious, nutritious, natural and accessible Greek yogurt right here in the United States.

But it’s always been about more than yogurt. At Chobani, the most important thing we make is a difference. As a food-focused wellness company, our vision for our communities and our world is one where universal wellness happens sooner.","Mission: “Better food for more people.” It’s a simple precept, but one that drives Chobani forward every day. From that first revived yogurt factory in New Berlin, New York, to a gleaming state-of-the-art facility in Twin Falls, Idaho, to an international foothold in Dandenong, Australia and beyond – in the few short years since its debut, Chobani has climbed to the top of the yogurt category and turned Greek yogurt into a household staple.","After moving to New York from his native Turkey, Chobani’s founder and CEO Hamdi Ulukaya found that in America, yogurt just wasn’t as delicious and widely available as it was back home. He believed everyone deserved better options, so he set about making delicious, nutritious, natural and accessible Greek yogurt right here in the United States.

But it’s always been about more than yogurt. At Chobani, the most important thing we make is a difference. As a food-focused wellness company, our vision for our communities and our world is one where universal wellness happens sooner.Mission: “Better food for more people.” It’s a simple precept, but one that drives Chobani forward every day. From that first revived yogurt factory in New Berlin, New York, to a gleaming state-of-the-art facility in Twin Falls, Idaho, to an international foothold in Dandenong, Australia and beyond – in the few short years since its debut, Chobani has climbed to the top of the yogurt category and turned Greek yogurt into a household staple.",1
Hensel Phelps,1001 to 5000 Employees,"Greeley, CO",Construction,4.1,4.2,4.2,2.9,3.9,4.4,4.2,495,"We construct great buildings and our people are our greatest assets; empowered to make decisions and trained to make the right ones. Our people embody the characteristics of drive and conscientiousness and have a strong desire to learn and take on new challenges. Employees share in the ownership of the company – and the company’s success! Our employee-owners also enjoy a wide range of benefits, including fully paid health insurance, vacation time, as well as a work environment that fosters community both inside and outside the company.","Mission: Plan. Build. Manage. From planning and design, to construction, and facility management, we work to solve our clients’ challenges from start to finish, and beyond. Our clients, both domestic and international, have entrusted us with a tremendous range of landmark projects, in nearly every market sector.","We construct great buildings and our people are our greatest assets; empowered to make decisions and trained to make the right ones. Our people embody the characteristics of drive and conscientiousness and have a strong desire to learn and take on new challenges. Employees share in the ownership of the company – and the company’s success! Our employee-owners also enjoy a wide range of benefits, including fully paid health insurance, vacation time, as well as a work environment that fosters community both inside and outside the company.Mission: Plan. Build. Manage. From planning and design, to construction, and facility management, we work to solve our clients’ challenges from start to finish, and beyond. Our clients, both domestic and international, have entrusted us with a tremendous range of landmark projects, in nearly every market sector.",1
CCC Information Services,1001 to 5000 Employees,"Chicago, IL",Enterprise Software & Network Solutions,4.1,4.7,4.0,4.0,4.0,4.0,3.7,289,"At CCC, we're all about connectedness - from our people to our products. Our team is truly reshaping the auto and casualty insurance, auto manufacturer, collision repair, and parts industries. We're setting the bar in these industries for AI-powered data insights, machine learning, IoT, and telematics.","Mission: At CCC, we're all about connectedness - from our people to our products. Our team is truly reshaping the auto and casualty insurance, auto manufacturer, collision repair, and parts industries. We're setting the bar in these industries for AI-powered data insights, machine learning, IoT, and telematics.

With 20+ years of consecutive growth, we still operate with the energy and hyper-scale trajectory of a startup. Our explosive growth landed us #17 on the Built In Chicago's list of Chicago's Top 100 Tech Companies back in 2017. In 2018, our people and culture earned us recognition as a Top-Rated Workplace by Indeed and one of America's Best-Mid-Size Employers by Forbes. We're continuing that trend in 2019. Built In Chicago and Austin ranked CCC as two of the Best Places To Work in 2019 and Forbes recognized us as one of America's Best-Mid-Size Employers for the second consecutive year.","At CCC, we're all about connectedness - from our people to our products. Our team is truly reshaping the auto and casualty insurance, auto manufacturer, collision repair, and parts industries. We're setting the bar in these industries for AI-powered data insights, machine learning, IoT, and telematics.Mission: At CCC, we're all about connectedness - from our people to our products. Our team is truly reshaping the auto and casualty insurance, auto manufacturer, collision repair, and parts industries. We're setting the bar in these industries for AI-powered data insights, machine learning, IoT, and telematics.

With 20+ years of consecutive growth, we still operate with the energy and hyper-scale trajectory of a startup. Our explosive growth landed us #17 on the Built In Chicago's list of Chicago's Top 100 Tech Companies back in 2017. In 2018, our people and culture earned us recognition as a Top-Rated Workplace by Indeed and one of America's Best-Mid-Size Employers by Forbes. We're continuing that trend in 2019. Built In Chicago and Austin ranked CCC as two of the Best Places To Work in 2019 and Forbes recognized us as one of America's Best-Mid-Size Employers for the second consecutive year.",1
Clark Construction Group,1001 to 5000 Employees,"Bethesda, MD",Construction,4.1,3.1,4.0,3.1,3.8,3.8,4.2,394,"Founded in 1906, Clark Construction Group is one of the nation’s most experienced and respected providers of construction services. Clark is consistently ranked among the nation’s leading general contractors, performing more than $5 billion worth of work each year.

Headquartered in Bethesda, Maryland, Clark has offices strategically positioned throughout the United States to serve the needs of our clients.", ,"Founded in 1906, Clark Construction Group is one of the nation’s most experienced and respected providers of construction services. Clark is consistently ranked among the nation’s leading general contractors, performing more than $5 billion worth of work each year.

Headquartered in Bethesda, Maryland, Clark has offices strategically positioned throughout the United States to serve the needs of our clients. ",0
Allan Myers,1001 to 5000 Employees,"Worcester, PA",Construction,4.1,3.0,4.0,3.7,3.6,4.2,3.9,111,"Our Company Does Work That Matters
Allan Myers is the largest heavy civil construction and materials production contractor in the mid-Atlantic. We build infrastructure: the highways and bridges that connect cities and towns, the public water and wastewater systems that provide clean water to your home and keep our streams clean. We take pride in meeting the highest quality standards because it ensures our work will have a long-lasting positive impact on the community.

Our Family is Strong and Growing
We employ more than 2,100 men and women. Our reputation for “Better, Faster, Safe” performance continues to bring us tremendous success. To keep up with rising demand for our products and services, we need to hire many more hard-working, ambitious people to fill hourly and salaried positions. Join our elite team, learn and grow with us, and we will provide a pathway to the American Dream for you and your family.

Your Future is a Career Not a Job
As a family-owned company, we attract the best workers in the industry because we treat every person as a family member. That means we practice care and concern for one another’s safety and well-being. We pay well and provide generous benefits. We offer extensive training and promote from within. If you have the drive, we will help you build a career in the thriving construction industry and reach your full potential.", ,"Our Company Does Work That Matters
Allan Myers is the largest heavy civil construction and materials production contractor in the mid-Atlantic. We build infrastructure: the highways and bridges that connect cities and towns, the public water and wastewater systems that provide clean water to your home and keep our streams clean. We take pride in meeting the highest quality standards because it ensures our work will have a long-lasting positive impact on the community.

Our Family is Strong and Growing
We employ more than 2,100 men and women. Our reputation for “Better, Faster, Safe” performance continues to bring us tremendous success. To keep up with rising demand for our products and services, we need to hire many more hard-working, ambitious people to fill hourly and salaried positions. Join our elite team, learn and grow with us, and we will provide a pathway to the American Dream for you and your family.

Your Future is a Career Not a Job
As a family-owned company, we attract the best workers in the industry because we treat every person as a family member. That means we practice care and concern for one another’s safety and well-being. We pay well and provide generous benefits. We offer extensive training and promote from within. If you have the drive, we will help you build a career in the thriving construction industry and reach your full potential. ",0
CapTech,1001 to 5000 Employees,"Richmond, VA",IT Services,4.1,3.9,4.2,4.1,3.9,3.9,4.0,240,"CapTech is a team of master builders, creators, and problem solvers who bring ingenuity and innovation to clients—transforming how technology, data, and systems can grow efficient, successful businesses.
Across industries and business goals, we fuse technical depth and analytical prowess with creative savvy to move clients forward. As perceptive partners, our consultants find inspiration in the unknown and enjoy getting our hands dirty solving clients’ myriad of challenges. Turning ideas into action, we create outcomes that exceed the expected — which is one of the reasons we’re among an elite group of organizations that have appeared the most on the Inc 500/1000.", ,"CapTech is a team of master builders, creators, and problem solvers who bring ingenuity and innovation to clients—transforming how technology, data, and systems can grow efficient, successful businesses.
Across industries and business goals, we fuse technical depth and analytical prowess with creative savvy to move clients forward. As perceptive partners, our consultants find inspiration in the unknown and enjoy getting our hands dirty solving clients’ myriad of challenges. Turning ideas into action, we create outcomes that exceed the expected — which is one of the reasons we’re among an elite group of organizations that have appeared the most on the Inc 500/1000. ",0
Taylor Morrison,1001 to 5000 Employees,"Scottsdale, AZ",Construction,4.1,4.0,4.3,4.1,4.0,4.0,3.9,486,"Taylor Morrison Home Corporation (NYSE: TMHC) is a leading national homebuilder and developer that was recently recognized as America's Most Trusted™ Home Builder for 2016 by Lifestory Research. Based in Scottsdale, Arizona we operate under two well-established brands, Taylor Morrison and Darling Homes. We serve a wide array of consumer groups from coast to coast, including first-time, move-up, luxury, active lifestyle and 55 plus buyers. In Texas, Darling Homes builds communities with a focus on individuality and custom detail while delivering on the Taylor Morrison standard of excellence.

For more information about Taylor Morrison&reg; and Darling Homes&reg;, please visit www.taylormorrison.com or www.darlinghomes.com.","Mission: To facilitate and support the creation of innovative communities and homes that are of higher quality and better value than its competitors while remaining more keenly attuned to buyer interests and needs, all of which generates unparalleled levels of customer satisfaction. Through the development and nurturing of its team members, the company empowers each team member to act as if the financial success and ethical foundations of the company rested solely on his or her shoulders.","Taylor Morrison Home Corporation (NYSE: TMHC) is a leading national homebuilder and developer that was recently recognized as America's Most Trusted™ Home Builder for 2016 by Lifestory Research. Based in Scottsdale, Arizona we operate under two well-established brands, Taylor Morrison and Darling Homes. We serve a wide array of consumer groups from coast to coast, including first-time, move-up, luxury, active lifestyle and 55 plus buyers. In Texas, Darling Homes builds communities with a focus on individuality and custom detail while delivering on the Taylor Morrison standard of excellence.

For more information about Taylor Morrison&reg; and Darling Homes&reg;, please visit www.taylormorrison.com or www.darlinghomes.com.Mission: To facilitate and support the creation of innovative communities and homes that are of higher quality and better value than its competitors while remaining more keenly attuned to buyer interests and needs, all of which generates unparalleled levels of customer satisfaction. Through the development and nurturing of its team members, the company empowers each team member to act as if the financial success and ethical foundations of the company rested solely on his or her shoulders.",0
US Department of Energy,10000+ Employees,"Washington, DC",Federal Agencies,4.1,4.6,3.6,3.8,3.3,3.8,3.5,313,"It takes a lot of manpower to build a nation's economic and energy security. That's why there's the US Department of Energy. The DOE was established in 1977 by former president Jimmy Carter at a time when the US was facing a severe winter and fuel shortages that caused factory and school closings and threatened residential cutoffs. The DOE has four key strategic initiatives: promoting a diverse supply of environmentally safe energy, supporting scientific and technological energy research, protecting the environment from the legacy of nuclear weapons production, and enabling the department's goals through upright management. The cabinet-level agency is a combination of 10 separate program offices.", ,"It takes a lot of manpower to build a nation's economic and energy security. That's why there's the US Department of Energy. The DOE was established in 1977 by former president Jimmy Carter at a time when the US was facing a severe winter and fuel shortages that caused factory and school closings and threatened residential cutoffs. The DOE has four key strategic initiatives: promoting a diverse supply of environmentally safe energy, supporting scientific and technological energy research, protecting the environment from the legacy of nuclear weapons production, and enabling the department's goals through upright management. The cabinet-level agency is a combination of 10 separate program offices. ",1
